Episode,Total_Timesteps,Reward
1,130,-41.196990966796875
2,194,-15.101913452148438
3,324,-54.09207534790039
4,368,-25.151832580566406
5,508,-34.93820571899414
6,551,-15.5457124710083
7,701,-19.705551147460938
8,759,-24.070356369018555
9,831,-21.86056137084961
10,881,-17.949480056762695
11,966,-22.809982299804688
12,1020,-20.337989807128906
13,1061,-18.611549377441406
14,1211,-16.198944091796875
15,1242,-17.293521881103516
16,1278,-15.72393798828125
17,1323,-17.255430221557617
18,1377,-23.766799926757812
19,1407,-19.352985382080078
20,1444,-18.849689483642578
21,1491,-17.255046844482422
22,1630,-43.773094177246094
23,1780,-11.421914100646973
24,1800,-14.060293197631836
25,1844,-15.70801067352295
26,1931,-37.063053131103516
27,1951,-14.502412796020508
28,1996,-14.777507781982422
29,2041,-20.37287139892578
30,2080,-14.472898483276367
31,2141,-16.580190658569336
32,2191,-26.891971588134766
33,2304,-49.956756591796875
34,2316,29.251848220825195
35,2352,-21.446189880371094
36,2413,-23.25054931640625
37,2445,-17.327028274536133
38,2482,-16.432703018188477
39,2541,-30.82594108581543
40,2577,-22.595857620239258
41,2610,-14.226608276367188
42,2633,-16.26996612548828
43,2659,-16.15084457397461
44,2705,-17.040977478027344
45,2765,-22.4957275390625
46,2860,-23.13715934753418
47,2891,-18.260799407958984
48,2940,-18.968082427978516
49,2968,-14.808889389038086
50,3017,-27.373180389404297
51,3115,-18.993642807006836
52,3147,-15.280550003051758
53,3238,-18.535114288330078
54,3313,-20.675573348999023
55,3441,-50.34963607788086
56,3511,-30.96487808227539
57,3560,-24.646034240722656
58,3585,-13.267730712890625
59,3662,-23.74604606628418
60,3719,-23.770776748657227
61,3744,-13.220251083374023
62,3817,-31.35940933227539
63,3952,-28.952926635742188
64,3987,-21.591819763183594
65,4131,-55.93000411987305
66,4281,-15.5441312789917
67,4312,-16.256351470947266
68,4369,-29.55350112915039
69,4492,-39.376895904541016
70,4538,-25.87771224975586
71,4600,-23.736478805541992
72,4645,-13.609861373901367
73,4700,-17.187339782714844
74,4724,-15.329353332519531
75,4781,-16.297943115234375
76,4849,-16.1394100189209
77,4921,-22.176151275634766
78,4984,-22.48556137084961
79,5039,-19.81317138671875
80,5101,-22.556236267089844
81,5251,-16.771427154541016
82,5311,-29.545204162597656
83,5372,-16.457277297973633
84,5399,-14.704963684082031
85,5448,-24.216293334960938
86,5495,-25.865177154541016
87,5568,-19.11927604675293
88,5626,-28.52446746826172
89,5662,-16.699840545654297
90,5812,-14.528908729553223
91,5962,-15.958502769470215
92,6007,-21.266685485839844
93,6067,-15.507007598876953
