Episode,Total_Timesteps,Reward
1,34,-19.019834518432617
2,107,-15.926219940185547
3,184,-17.816959381103516
4,214,-16.52359390258789
5,240,-17.142776489257812
6,284,-24.075313568115234
7,292,29.502473831176758
8,354,-18.931541442871094
9,453,-39.140907287597656
10,483,-19.01775360107422
11,633,-15.888568878173828
12,657,-14.408317565917969
13,685,-16.839832305908203
14,782,-19.77954864501953
15,811,-19.203235626220703
16,947,-53.039031982421875
17,1065,-51.04582977294922
18,1068,29.83172035217285
19,1150,-38.19832992553711
20,1216,-26.821033477783203
21,1290,-17.540390014648438
22,1330,-13.637603759765625
23,1353,-13.938813209533691
24,1389,-18.43686294555664
25,1495,-19.956974029541016
26,1531,-13.77672004699707
27,1570,-14.037070274353027
28,1606,-13.673659324645996
29,1627,-13.011159896850586
30,1694,-31.910987854003906
31,1786,-38.844329833984375
32,1919,-54.852325439453125
33,1973,-27.309497833251953
34,2002,-14.895868301391602
35,2086,-33.02878952026367
36,2174,-22.682788848876953
37,2233,-31.33537483215332
38,2270,-16.001174926757812
39,2281,29.378005981445312
40,2398,-42.83479309082031
41,2459,-19.876087188720703
42,2476,-12.823841094970703
43,2543,-31.50123405456543
44,2693,-12.754687309265137
45,2712,-12.118223190307617
46,2754,-17.385101318359375
47,2827,-16.675878524780273
48,2867,-14.344532012939453
49,2898,-15.525259017944336
50,2936,-15.167403221130371
51,2975,-21.800809860229492
52,3055,-31.154285430908203
53,3102,-16.05934715270996
54,3117,29.073963165283203
55,3169,-28.744304656982422
56,3206,-13.674854278564453
57,3213,29.605201721191406
58,3249,-14.564312934875488
59,3306,-22.35544204711914
60,3362,-28.001529693603516
61,3399,-18.454898834228516
62,3405,29.626373291015625
63,3555,-14.525700569152832
64,3705,-19.43874740600586
65,3834,-53.72410583496094
66,3902,-31.672456741333008
67,4052,-12.291486740112305
68,4101,-16.6220760345459
69,4129,-19.62954330444336
70,4254,-50.51274108886719
71,4349,-21.262714385986328
72,4387,-23.47995948791504
73,4472,-30.825138092041016
74,4511,-20.708698272705078
75,4584,-16.21051597595215
76,4602,-13.640778541564941
77,4671,-22.304548263549805
78,4729,-28.141292572021484
79,4826,-23.64450454711914
80,4950,-36.22254943847656
81,4991,-17.360092163085938
82,5002,29.32353401184082
83,5049,-15.33317756652832
84,5091,-21.41431427001953
85,5131,-23.618165969848633
86,5187,-19.049964904785156
87,5262,-33.806640625
88,5363,-36.46297836303711
89,5435,-24.315746307373047
90,5585,-12.638473510742188
91,5586,29.94415855407715
92,5640,-16.244163513183594
93,5664,28.47596549987793
94,5681,-14.643292427062988
95,5720,-16.891530990600586
96,5793,-18.54623794555664
97,5828,-18.88992691040039
98,5858,-16.95228385925293
99,5893,-15.574962615966797
100,5997,-44.4881706237793
101,6025,-16.516393661499023
102,6072,-25.72397804260254
103,6099,-13.608975410461426
104,6143,-18.079315185546875
105,6178,-23.011425018310547
106,6215,-16.826866149902344
107,6236,-15.406620025634766
108,6261,-19.316490173339844
109,6284,-17.27346420288086
110,6306,-16.1721134185791
111,6330,-17.753437042236328
112,6449,-21.646259307861328
113,6594,-22.9659366607666
114,6744,-10.220277786254883
115,6844,-30.440248489379883
116,6886,-25.420177459716797
117,6933,-16.76905632019043
118,6962,-16.46973419189453
119,7011,-20.941665649414062
120,7047,-21.465087890625
121,7197,-17.783843994140625
122,7347,-18.649253845214844
123,7436,-20.69570541381836
124,7451,-14.176836967468262
125,7601,-30.303010940551758
126,7646,-16.610462188720703
127,7725,-17.090167999267578
128,7753,-15.362313270568848
129,7903,-9.977875709533691
130,8044,-44.778656005859375
131,8114,-23.673267364501953
132,8264,-11.501572608947754
133,8337,-23.869251251220703
134,8351,-13.11386775970459
135,8378,-16.102523803710938
136,8379,29.945287704467773
137,8432,-16.01915740966797
138,8471,-16.05809211730957
139,8492,-17.039505004882812
140,8527,-18.543682098388672
141,8548,-14.55024528503418
142,8610,-20.648162841796875
143,8721,-27.617334365844727
144,8754,-14.51511001586914
145,8796,-19.818416595458984
146,8857,-19.013622283935547
147,8858,29.94408416748047
148,8933,-23.8234806060791
149,8971,-20.414491653442383
150,8989,-16.10854721069336
151,9139,-14.02504825592041
152,9165,-15.876324653625488
153,9236,-19.729949951171875
154,9302,-32.984283447265625
155,9452,-12.309845924377441
156,9465,29.194358825683594
157,9615,-26.582996368408203
158,9672,-19.556304931640625
159,9701,-20.251972198486328
160,9851,-17.561918258666992
161,9953,-23.661243438720703
162,9999,-18.66716957092285
163,10015,-14.481023788452148
164,10165,-10.555561065673828
165,10223,-16.816225051879883
166,10364,-21.524879455566406
167,10514,-11.204618453979492
168,10574,-20.15169906616211
169,10590,-15.168011665344238
170,10740,-11.73225212097168
171,10805,-19.469215393066406
172,10827,-14.948884963989258
173,10860,-19.424217224121094
174,11010,-11.326719284057617
175,11160,-15.19619369506836
176,11188,-17.229921340942383
177,11230,26.748737335205078
178,11250,-16.138504028320312
179,11286,-19.743316650390625
180,11339,-17.783279418945312
181,11489,-10.619913101196289
182,11583,-20.884254455566406
183,11733,-13.096030235290527
184,11807,-28.10015869140625
185,11957,-11.078097343444824
186,11969,29.204936981201172
187,12016,-24.87270736694336
188,12030,-13.031682014465332
189,12180,-14.56739330291748
190,12204,-16.10714340209961
191,12205,29.949352264404297
192,12235,-14.770870208740234
193,12385,-13.93452262878418
194,12535,-21.234634399414062
195,12685,-12.127084732055664
196,12719,-18.968034744262695
197,12862,-28.363704681396484
198,13012,-15.773415565490723
199,13162,-11.345198631286621
200,13312,-12.194350242614746
201,13412,22.827884674072266
202,13468,-17.388992309570312
203,13494,-15.135991096496582
204,13522,-18.152366638183594
205,13672,-21.40003204345703
206,13705,-17.919788360595703
207,13855,-13.496308326721191
208,13937,-23.2887020111084
209,14087,-12.20189094543457
210,14237,-12.299386978149414
211,14258,-14.609512329101562
212,14408,-15.290413856506348
213,14431,-16.68109130859375
214,14453,-16.74536895751953
215,14487,-19.796123504638672
216,14579,-20.800676345825195
217,14605,-17.679224014282227
218,14664,26.05621337890625
219,14814,-13.95938777923584
220,14830,-13.396644592285156
221,14927,-28.612274169921875
222,15024,-19.392730712890625
223,15047,-16.083419799804688
224,15109,-23.611957550048828
225,15259,-11.59118938446045
226,15409,-11.104069709777832
227,15559,-12.402953147888184
228,15709,-10.27001667022705
229,15778,-15.913944244384766
230,15817,-19.31147575378418
231,15898,-18.80268669128418
232,16048,-9.349763870239258
233,16192,-26.44235610961914
234,16342,-16.948890686035156
235,16483,-23.41146469116211
236,16633,-10.801301002502441
237,16783,-12.896154403686523
238,16933,-15.397880554199219
239,17083,-11.345349311828613
240,17126,-16.8798828125
241,17149,-15.551900863647461
242,17299,-14.428487777709961
243,17449,-9.91922664642334
244,17458,29.46466064453125
245,17552,-18.72894287109375
246,17702,-10.792937278747559
247,17731,-15.809301376342773
248,17881,-11.346909523010254
249,18016,-21.381202697753906
250,18043,-17.33348846435547
251,18193,-14.72149658203125
252,18214,-14.49409008026123
253,18364,-11.34312915802002
254,18514,-10.578773498535156
255,18532,-13.730756759643555
256,18552,28.784748077392578
257,18569,-15.065557479858398
258,18592,-17.249052047729492
259,18742,-11.898387908935547
260,18892,-11.424485206604004
261,18911,-15.338898658752441
262,19061,-13.313563346862793
263,19082,-15.038131713867188
264,19232,-15.927081108093262
265,19382,-14.690543174743652
266,19532,-19.002185821533203
267,19682,-13.726015090942383
268,19699,-13.87271785736084
269,19849,-13.068312644958496
270,19978,20.979610443115234
271,20007,-17.926624298095703
272,20126,20.38079071044922
273,20276,-17.257278442382812
274,20426,-12.95905590057373
275,20447,-16.31881332397461
276,20597,-15.290481567382812
277,20747,-18.41306495666504
278,20766,28.888690948486328
279,20916,-11.353741645812988
280,20950,27.324344635009766
281,21100,-15.077417373657227
282,21250,-13.838290214538574
283,21339,-18.306480407714844
284,21357,-14.138080596923828
285,21425,23.64225959777832
286,21575,-10.583504676818848
287,21582,29.597517013549805
288,21632,-15.112451553344727
289,21660,-14.869529724121094
290,21786,-21.119152069091797
291,21841,25.336421966552734
292,21861,-14.423992156982422
293,21879,-14.333475112915039
294,22029,-13.033697128295898
295,22179,-10.780563354492188
296,22198,28.719345092773438
297,22348,-13.94322681427002
298,22436,-19.39179039001465
299,22586,-13.495987892150879
300,22736,-14.3285493850708
301,22753,-15.142463684082031
302,22903,-10.576202392578125
303,23053,-13.743762016296387
304,23145,23.626853942871094
305,23295,-9.980118751525879
306,23405,19.047176361083984
307,23555,-10.942831993103027
308,23633,-18.849529266357422
309,23649,-14.394933700561523
310,23799,-15.695531845092773
311,23810,29.353862762451172
312,23864,24.711299896240234
313,23894,28.00322723388672
314,24011,20.4533634185791
315,24161,-11.454041481018066
316,24290,-21.75381851196289
317,24309,28.971445083618164
318,24331,-14.06153678894043
319,24410,24.599388122558594
320,24431,28.717578887939453
321,24581,-11.258817672729492
322,24619,26.6375675201416
323,24642,-16.71401023864746
324,24646,29.770183563232422
325,24763,19.93307876586914
326,24913,-12.122471809387207
327,24937,28.224102020263672
328,25087,-11.027785301208496
329,25237,-11.325514793395996
330,25387,-13.48552417755127
331,25475,24.09980583190918
332,25555,22.368623733520508
333,25648,-20.570144653320312
334,25767,-23.4830322265625
335,25830,25.282514572143555
336,25851,-13.857141494750977
337,25866,-13.503949165344238
338,26016,-12.996929168701172
339,26166,-12.003670692443848
340,26174,29.54991912841797
341,26259,-21.372053146362305
342,26396,16.842771530151367
343,26546,-10.254637718200684
344,26696,-12.058520317077637
345,26846,-13.58096981048584
346,26919,-16.706924438476562
347,27059,18.328407287597656
348,27119,26.000947952270508
349,27137,-14.327075004577637
350,27287,-16.564807891845703
351,27437,-11.149538040161133
352,27488,26.23727798461914
353,27638,-12.102214813232422
354,27788,-11.858241081237793
355,27938,-10.882887840270996
356,28088,-14.4899263381958
357,28103,-14.001958847045898
358,28117,29.258214950561523
359,28185,23.337665557861328
360,28335,-9.231168746948242
361,28485,-12.7441987991333
362,28635,-15.26479721069336
363,28653,-14.02757453918457
