Episode,Total_Timesteps,Reward
1,34,-19.019834518432617
2,107,-15.926219940185547
3,184,-17.816959381103516
4,214,-16.52359390258789
5,240,-17.142776489257812
6,284,-24.075313568115234
7,292,29.502473831176758
8,354,-18.931541442871094
9,453,-39.140907287597656
10,483,-19.01775360107422
11,633,-15.888568878173828
12,657,-14.408317565917969
13,685,-16.839832305908203
14,782,-19.77954864501953
15,811,-19.203235626220703
16,947,-53.039031982421875
17,1097,-52.519676208496094
18,1174,-18.535503387451172
19,1235,-31.517297744750977
20,1282,-11.624370574951172
21,1333,-16.216411590576172
22,1372,-13.582595825195312
23,1417,-18.07635498046875
24,1451,-17.66275978088379
25,1601,-11.453243255615234
26,1603,29.878820419311523
27,1638,-14.205978393554688
28,1766,-21.097124099731445
29,1868,-24.708934783935547
30,1961,-38.5985221862793
31,2020,-25.930723190307617
32,2096,-34.65239334106445
33,2202,-41.12157440185547
34,2251,-19.381723403930664
35,2276,-16.822519302368164
36,2403,-27.961931228637695
37,2435,-20.225622177124023
38,2501,-19.594337463378906
39,2505,29.780363082885742
40,2565,-25.50583267211914
41,2614,-15.526596069335938
42,2633,-13.925756454467773
43,2689,-29.1838321685791
44,2730,-14.0397367477417
45,2740,29.375341415405273
46,2800,-19.751441955566406
47,2870,-18.54153823852539
48,2906,-13.889636039733887
49,2930,-13.700143814086914
50,2975,-15.413481712341309
51,3125,-47.74065017700195
52,3154,-16.891849517822266
53,3188,-13.951245307922363
54,3190,29.882097244262695
55,3254,-31.304704666137695
56,3363,-20.946449279785156
57,3501,-20.951854705810547
58,3539,-14.183575630187988
59,3563,-16.294105529785156
60,3607,-23.5501708984375
61,3643,-17.222103118896484
62,3700,-15.653963088989258
63,3712,29.245805740356445
64,3779,-20.946475982666016
65,3846,-32.16345977783203
66,3869,-16.59100341796875
67,4005,-20.505535125732422
68,4081,-17.780521392822266
69,4120,-22.142929077148438
70,4154,-19.506000518798828
71,4200,-17.327714920043945
72,4238,-19.064037322998047
73,4305,-28.121906280517578
74,4342,-19.513389587402344
75,4371,27.828453063964844
76,4410,-16.72876739501953
77,4436,-16.26531219482422
78,4476,-22.315975189208984
79,4524,-16.86170196533203
80,4576,-24.114654541015625
81,4601,-13.576009750366211
82,4666,-17.16852569580078
83,4693,-13.49682331085205
84,4738,-21.775815963745117
85,4824,-39.64073181152344
86,4948,-28.599689483642578
87,4984,-22.010875701904297
88,5040,-24.73440933227539
89,5143,-24.89656639099121
90,5233,-16.54414939880371
91,5235,29.880935668945312
92,5385,-9.940804481506348
93,5535,-14.574021339416504
94,5565,-18.164657592773438
95,5589,-13.748369216918945
96,5611,-12.533180236816406
97,5666,-18.858779907226562
98,5708,-19.216245651245117
99,5776,-18.244853973388672
100,5838,-27.445186614990234
101,5880,-19.612720489501953
102,5984,-39.303565979003906
103,6134,-15.580890655517578
104,6252,-27.568811416625977
105,6272,-15.980698585510254
106,6322,-18.31745147705078
107,6387,-26.95428466796875
108,6431,-24.181163787841797
109,6533,-40.20751953125
110,6609,-19.983028411865234
111,6650,-20.481796264648438
112,6800,-12.460140228271484
113,6801,29.94239616394043
114,6922,-23.077728271484375
115,6941,-14.684962272644043
116,6991,-25.53729248046875
117,7141,-15.120903015136719
118,7253,-28.59095001220703
119,7287,-14.641580581665039
120,7414,-34.63343048095703
121,7464,25.276226043701172
122,7614,-13.984067916870117
123,7764,-14.121411323547363
124,7786,-15.524667739868164
125,7820,-16.982099533081055
126,7970,-14.00611686706543
127,8120,-17.091739654541016
128,8270,-14.770170211791992
129,8413,-22.428077697753906
130,8433,-14.79034423828125
131,8583,-18.461450576782227
132,8733,-12.631274223327637
133,8782,-16.40704917907715
134,8797,-13.135483741760254
135,8847,-20.021041870117188
136,8935,23.960607528686523
137,9085,-13.504467010498047
138,9235,-18.041851043701172
139,9289,-25.57427978515625
140,9314,-15.379621505737305
141,9403,-20.660869598388672
142,9429,-14.967890739440918
143,9541,-26.566070556640625
144,9691,-12.857677459716797
145,9714,-14.59666633605957
146,9864,-18.12088966369629
147,9866,29.885915756225586
148,9962,-24.874584197998047
149,9998,-19.016006469726562
150,10018,-16.53061294555664
151,10036,28.953201293945312
152,10061,-16.313100814819336
153,10211,-14.393400192260742
154,10233,-15.784503936767578
155,10383,-15.015332221984863
156,10399,29.067049026489258
157,10549,-17.274497985839844
158,10699,-15.019491195678711
159,10849,-15.391863822937012
160,10999,-12.816169738769531
161,11149,-15.433418273925781
162,11299,-17.71235466003418
163,11318,-15.180757522583008
164,11358,27.75444221496582
165,11442,-20.86664581298828
166,11517,-18.730207443237305
167,11667,-14.844930648803711
168,11817,-14.827516555786133
169,11967,-14.870367050170898
170,12117,-12.889127731323242
171,12267,-11.297467231750488
172,12295,-13.825474739074707
173,12319,-14.953046798706055
174,12469,-11.343667984008789
175,12619,-14.693964958190918
176,12675,-16.311803817749023
177,12707,27.543115615844727
178,12726,-15.26143741607666
179,12819,-26.85431671142578
180,12846,-17.576202392578125
181,12996,-10.155073165893555
182,13146,-15.881306648254395
183,13296,-10.94703483581543
184,13446,-16.669588088989258
185,13596,-11.135147094726562
186,13613,28.9183406829834
187,13637,-14.84139633178711
188,13787,-11.49441146850586
189,13937,-11.456809997558594
190,13963,-15.557395935058594
191,14007,27.287118911743164
192,14116,-19.427139282226562
193,14266,-12.845200538635254
194,14416,-11.470425605773926
195,14566,-9.94812297821045
196,14665,-20.80247688293457
197,14782,15.262661933898926
198,14932,-11.258895874023438
199,15082,-10.2901029586792
200,15232,-13.374295234680176
201,15382,-10.822765350341797
202,15532,-19.749650955200195
203,15682,-13.314671516418457
204,15719,-17.216482162475586
205,15864,-26.569225311279297
206,16014,-15.088322639465332
207,16101,21.618385314941406
208,16251,-14.91996955871582
209,16347,21.83126449584961
210,16497,-16.51677703857422
211,16647,-14.192954063415527
212,16797,-12.569536209106445
213,16826,-18.474655151367188
214,16938,-24.922592163085938
215,16962,-14.598024368286133
216,17112,-23.4198055267334
217,17127,-14.044925689697266
218,17158,27.482391357421875
219,17308,-13.221923828125
220,17431,-23.287445068359375
221,17456,-15.026820182800293
222,17606,-13.030364990234375
223,17631,-15.887351989746094
224,17695,-19.098346710205078
225,17822,21.637981414794922
226,17954,19.317989349365234
227,18045,22.146942138671875
228,18195,-11.4873685836792
229,18345,-11.809975624084473
230,18363,-13.794578552246094
231,18404,-14.367803573608398
232,18475,25.236793518066406
233,18625,-19.775697708129883
234,18643,-13.85373592376709
235,18793,-11.0806303024292
236,18943,-12.134574890136719
237,19043,21.982603073120117
238,19193,-11.74316120147705
239,19343,-10.016571044921875
240,19493,-12.999244689941406
241,19643,-12.722366333007812
242,19793,-12.311269760131836
243,19811,28.72071075439453
244,19813,29.87786293029785
245,19963,-11.928902626037598
246,20113,-13.822768211364746
247,20263,-14.630046844482422
248,20370,20.000070571899414
249,20520,-16.066802978515625
250,20539,-14.78754997253418
251,20689,-14.163583755493164
252,20839,-19.125263214111328
253,20989,-9.852048873901367
254,21139,-9.912535667419434
255,21228,-19.21243667602539
256,21274,26.83106803894043
257,21424,-11.930266380310059
258,21574,-12.845467567443848
259,21669,20.584312438964844
260,21738,22.576778411865234
261,21888,-12.097938537597656
262,22038,-13.918501853942871
263,22188,-18.230270385742188
264,22275,21.170970916748047
265,22425,-11.3963041305542
266,22575,-12.058304786682129
267,22666,21.89969253540039
268,22816,-15.281682968139648
269,22966,-10.21240234375
270,23050,24.389892578125
271,23069,-14.413015365600586
272,23150,23.75605010986328
273,23240,-16.624948501586914
274,23390,-14.807138442993164
275,23408,-14.216907501220703
276,23558,-11.744392395019531
277,23708,-16.021175384521484
278,23711,29.817352294921875
279,23861,-10.998303413391113
280,23922,25.324203491210938
281,24072,-13.966513633728027
282,24222,-12.098315238952637
283,24267,25.087947845458984
284,24417,-11.506814002990723
285,24521,20.21771240234375
286,24671,-11.22105884552002
287,24672,29.94758415222168
288,24822,-11.642237663269043
289,24849,-14.207714080810547
290,24999,-11.058816909790039
291,25092,23.200023651123047
292,25242,-11.233388900756836
293,25258,-13.796259880065918
294,25408,-10.11967945098877
295,25558,-9.738157272338867
296,25577,28.724863052368164
297,25727,-15.675943374633789
298,25877,-12.140059471130371
299,25955,22.24531364440918
300,26086,18.07243537902832
301,26106,-16.05048370361328
302,26214,20.269432067871094
303,26364,-11.441587448120117
304,26382,28.820987701416016
305,26424,27.230745315551758
306,26501,22.125131607055664
307,26651,-10.50186538696289
308,26801,-12.86829948425293
309,26818,-14.646869659423828
310,26968,-13.266350746154785
311,26976,29.54401397705078
312,27019,26.41093635559082
313,27029,29.337398529052734
314,27081,25.05319595336914
315,27152,24.8833065032959
316,27302,-14.878185272216797
317,27305,29.83710479736328
318,27455,-10.780336380004883
319,27470,29.008209228515625
320,27482,29.194847106933594
321,27577,20.443096160888672
322,27727,-11.706232070922852
323,27749,-15.517007827758789
324,27753,29.77992820739746
325,27903,-10.257831573486328
326,27977,24.12599754333496
327,27996,28.659547805786133
328,28146,-10.63492202758789
329,28209,24.36408805847168
330,28230,-13.924352645874023
331,28303,24.435691833496094
332,28389,24.424182891845703
333,28539,-10.968095779418945
334,28557,-13.956055641174316
335,28584,27.972532272338867
336,28602,-13.070758819580078
337,28619,-14.138587951660156
338,28769,-12.034658432006836
339,28919,-12.32961368560791
340,28928,29.515750885009766
341,29076,10.230457305908203
342,29150,21.686725616455078
343,29241,22.958690643310547
344,29346,20.06241226196289
345,29402,25.43423843383789
346,29552,-11.000205993652344
347,29624,22.491966247558594
348,29635,29.308698654174805
349,29785,-12.641335487365723
350,29935,-13.2926664352417
351,30085,-10.908226013183594
352,30235,-9.756796836853027
353,30303,24.109445571899414
354,30453,-9.604920387268066
355,30499,26.426891326904297
356,30649,-12.157267570495605
357,30670,-14.259929656982422
358,30672,29.884410858154297
359,30766,22.74049949645996
360,30916,-10.807639122009277
361,31066,-11.234655380249023
362,31216,-10.193561553955078
363,31250,-15.690155982971191
364,31348,23.21569061279297
365,31498,-11.162626266479492
