Episode,Total_Timesteps,Reward
1,130,-41.196990966796875
2,194,-15.101913452148438
3,324,-54.09207534790039
4,368,-25.151832580566406
5,508,-34.93820571899414
6,551,-15.5457124710083
7,701,-19.705551147460938
8,759,-24.070356369018555
9,831,-21.86056137084961
10,881,-17.949480056762695
11,966,-22.809982299804688
12,1020,-20.337989807128906
13,1061,-18.519702911376953
14,1171,-22.52719497680664
15,1200,-15.500901222229004
16,1258,-15.480202674865723
17,1298,-15.313056945800781
18,1368,-27.903549194335938
19,1393,-17.599994659423828
20,1451,-23.997943878173828
21,1485,-15.076062202453613
22,1531,-24.208477020263672
23,1681,-14.241989135742188
24,1733,-19.171875
25,1770,-13.910395622253418
26,1831,-26.721771240234375
27,1865,-17.807815551757812
28,1938,-18.950355529785156
29,1997,-25.7259578704834
30,2038,-15.4708833694458
31,2087,-15.614313125610352
32,2129,-24.17188262939453
33,2192,-31.803363800048828
34,2265,-15.850114822387695
35,2323,-29.186128616333008
36,2358,-17.228744506835938
37,2405,-18.292823791503906
38,2445,-15.559587478637695
39,2499,-28.71030044555664
40,2534,-22.51667022705078
41,2586,-15.80280876159668
42,2618,-18.406402587890625
43,2648,-16.442138671875
44,2694,-17.453449249267578
45,2715,-3.946125030517578
46,2865,-14.990954399108887
47,2908,-21.169002532958984
48,2925,-13.256407737731934
49,2969,-16.94107437133789
50,3041,-34.52591323852539
51,3099,-16.026226043701172
52,3137,-16.83397102355957
53,3235,-19.862285614013672
54,3311,-21.29218292236328
55,3365,-28.800445556640625
56,3425,-27.233253479003906
57,3570,-55.287906646728516
58,3608,-16.85898780822754
59,3676,-20.833404541015625
60,3719,-21.033248901367188
61,3744,-12.945344924926758
62,3788,-22.822998046875
63,3844,-18.040748596191406
64,3895,-25.88306427001953
65,4038,-56.74224853515625
66,4188,-15.800481796264648
67,4244,-17.57712745666504
68,4357,-46.804893493652344
69,4388,-19.454570770263672
70,4428,-23.332271575927734
71,4510,-29.074338912963867
72,4591,-20.240537643432617
73,4629,-14.96126651763916
74,4677,-21.826499938964844
75,4706,-14.287677764892578
76,4764,-17.027318954467773
77,4809,-18.34579849243164
78,4859,-20.003562927246094
79,4919,-19.502052307128906
80,4974,-20.911102294921875
81,5024,-15.179205894470215
82,5082,-30.346418380737305
83,5218,-22.28024673461914
84,5262,-15.976777076721191
85,5290,-18.47936248779297
86,5440,-42.389320373535156
87,5590,-12.599817276000977
88,5642,-26.60638427734375
89,5684,-17.304218292236328
90,5772,-19.2353515625
91,5793,-12.872617721557617
92,5899,-36.969749450683594
93,5946,-14.563140869140625
94,5998,-17.31566047668457
