Episode,Total_Timesteps,Reward
1,34,-19.019834518432617
2,107,-15.926219940185547
3,184,-17.816959381103516
4,214,-16.52359390258789
5,240,-17.142776489257812
6,284,-24.075313568115234
7,292,29.502473831176758
8,354,-18.931541442871094
9,453,-39.140907287597656
10,483,-19.01775360107422
11,633,-15.888568878173828
12,657,-14.408317565917969
13,685,-16.839832305908203
14,782,-19.77954864501953
15,811,-19.203235626220703
16,947,-53.039031982421875
17,1069,-52.47260284423828
18,1071,29.891754150390625
19,1128,-30.69829750061035
20,1278,-34.113155364990234
21,1333,-16.255191802978516
22,1365,-13.201091766357422
23,1384,-13.262838363647461
24,1444,-23.42209243774414
25,1573,-20.316349029541016
26,1607,-13.492422103881836
27,1637,-13.735832214355469
28,1787,-14.498589515686035
29,1863,-19.116779327392578
30,1897,-20.918527603149414
31,1972,-33.93305587768555
32,2013,-24.457611083984375
33,2078,-30.440452575683594
34,2136,-19.78917121887207
35,2161,-16.692337036132812
36,2203,-15.005403518676758
37,2302,-45.64998245239258
38,2363,-18.337135314941406
39,2365,29.893461227416992
40,2427,-28.04055404663086
41,2571,-28.31676483154297
42,2621,-18.77881622314453
43,2701,-35.85939025878906
44,2748,-13.975151062011719
45,2823,-16.117870330810547
46,2862,-17.377220153808594
47,2906,-15.588889122009277
48,2938,-13.338014602661133
49,3047,-28.269798278808594
50,3082,-15.30662727355957
51,3115,-19.731159210205078
52,3159,-19.881685256958008
53,3195,-13.664178848266602
54,3197,29.883939743041992
55,3239,-25.24371910095215
56,3325,-18.97414779663086
57,3415,-22.923004150390625
58,3458,-16.07032012939453
59,3482,-16.383832931518555
60,3533,-26.645551681518555
61,3565,-16.779922485351562
62,3664,-21.54076385498047
63,3809,-24.32451629638672
64,3842,-15.11928939819336
65,3879,-22.27434730529785
66,3980,-43.4840202331543
67,4074,-17.242359161376953
68,4114,-14.363334655761719
69,4168,-27.563121795654297
70,4185,-5.151841163635254
71,4335,-14.680041313171387
72,4380,-23.54161834716797
73,4437,-24.281169891357422
74,4517,-30.27627182006836
75,4653,-23.526582717895508
76,4687,-16.111106872558594
77,4761,-27.603172302246094
78,4908,-57.58647537231445
79,4947,-16.74029541015625
80,5003,-25.482227325439453
81,5030,-15.151700019836426
82,5042,29.217527389526367
83,5065,-13.29865550994873
84,5111,-24.499530792236328
85,5212,-44.659446716308594
86,5289,-19.367294311523438
87,5439,-48.438812255859375
88,5528,-30.915081024169922
89,5578,-20.105934143066406
90,5634,-15.994258880615234
91,5635,29.9439754486084
92,5677,-13.44131851196289
93,5686,29.43999671936035
94,5765,-34.52967071533203
95,5860,-23.104389190673828
96,5916,-17.486555099487305
97,5974,-25.331783294677734
98,5990,-13.396337509155273
99,6022,-15.594653129577637
100,6081,-31.137609481811523
101,6109,-16.410232543945312
102,6159,-27.21879005432129
103,6243,-20.719585418701172
104,6275,-16.026334762573242
105,6366,-41.22815704345703
106,6429,-20.364654541015625
107,6459,-19.20050048828125
108,6557,-37.340030670166016
109,6600,-25.296661376953125
110,6623,-16.141511917114258
111,6659,-22.390682220458984
112,6741,-16.740478515625
113,6877,-23.176889419555664
114,6945,-15.452266693115234
115,6971,-17.039644241333008
116,7029,-30.307781219482422
117,7077,-16.605491638183594
118,7103,-16.84922218322754
119,7238,-37.37815856933594
120,7265,-18.803306579589844
121,7415,-14.586581230163574
122,7445,-15.735599517822266
123,7534,-17.1566162109375
124,7592,-25.472517013549805
125,7631,-19.95116424560547
126,7751,-25.93212890625
127,7771,-13.382170677185059
128,7803,-16.48098373413086
129,7906,-19.385295867919922
130,7940,-19.663089752197266
131,8027,-28.307350158691406
132,8110,-21.07012939453125
133,8142,-16.83458709716797
134,8168,-16.398345947265625
135,8205,-19.30096435546875
136,8207,29.888591766357422
137,8286,-20.532520294189453
138,8332,-18.534873962402344
139,8384,-26.542753219604492
140,8415,-18.06479263305664
141,8445,-16.46908950805664
142,8474,-15.656375885009766
143,8496,-14.364938735961914
144,8541,-15.537576675415039
145,8608,-26.076866149902344
146,8662,-19.01975440979004
147,8666,29.766225814819336
148,8695,-16.66737937927246
149,8721,-16.820499420166016
150,8753,-20.794471740722656
151,8891,-22.05469512939453
152,8930,-19.26732635498047
153,9080,-16.52533531188965
154,9122,-24.347938537597656
155,9272,-13.976740837097168
156,9274,29.878673553466797
157,9307,-16.483211517333984
158,9351,-17.732431411743164
159,9392,-22.981449127197266
160,9432,-14.781149864196777
161,9582,-16.572589874267578
162,9618,-16.95061492919922
163,9647,-18.83364486694336
164,9797,-11.514716148376465
165,9868,-18.442249298095703
166,10018,-18.648767471313477
167,10068,-16.07963752746582
168,10139,-18.91375732421875
169,10171,-20.024656295776367
170,10268,-20.33922004699707
171,10361,-17.405364990234375
172,10511,-25.596363067626953
173,10559,-26.2420597076416
174,10676,-23.740875244140625
175,10710,-17.054500579833984
176,10742,-19.490169525146484
177,10892,-12.277721405029297
178,10932,-22.358369827270508
179,10964,-19.698440551757812
180,10988,-16.620553970336914
181,11131,-27.851356506347656
182,11188,-23.65802001953125
183,11238,-15.097244262695312
184,11261,-16.070781707763672
185,11333,-17.173614501953125
186,11432,-18.577198028564453
187,11465,-19.480121612548828
188,11499,-17.506919860839844
189,11561,-16.015087127685547
190,11587,-16.380367279052734
191,11590,29.838546752929688
192,11653,-20.8209285736084
193,11756,-18.95890235900879
194,11826,-17.64140510559082
195,11973,-20.556690216064453
196,12029,-27.2176513671875
197,12115,-27.10152244567871
198,12157,-15.030847549438477
199,12221,-15.716590881347656
200,12371,-12.280404090881348
201,12495,-19.310331344604492
202,12633,-25.921710968017578
203,12669,-17.109270095825195
204,12695,-16.944438934326172
205,12734,-20.74848175048828
206,12763,-18.829744338989258
207,12913,-14.16791820526123
208,12940,-19.37608528137207
209,13018,-19.365921020507812
210,13168,-14.949012756347656
211,13192,-15.37535285949707
212,13223,-14.913818359375
213,13252,-19.427631378173828
214,13276,-18.15896224975586
215,13315,-20.636253356933594
216,13465,-14.186006546020508
217,13483,-15.632875442504883
218,13633,-10.979799270629883
219,13658,-13.47962760925293
220,13680,-14.88422966003418
221,13769,-18.72374725341797
222,13919,-13.273045539855957
223,13938,-15.014261245727539
224,13965,-15.96721076965332
225,14026,-14.971088409423828
226,14176,-11.784735679626465
227,14326,-14.393190383911133
228,14476,-11.96115493774414
229,14502,-13.173294067382812
230,14534,-17.12999153137207
231,14598,-19.91890525817871
232,14627,27.989364624023438
233,14777,-13.295580863952637
234,14821,-19.829404830932617
235,14971,-13.272704124450684
236,15121,-10.169103622436523
237,15227,-18.715072631835938
238,15253,-17.586101531982422
239,15403,-12.213334083557129
240,15553,-17.482810974121094
241,15572,-14.955961227416992
242,15614,-19.35062599182129
243,15764,-9.398369789123535
244,15914,-10.73179817199707
245,15978,-20.52596664428711
246,16061,-20.312910079956055
247,16110,-20.205533981323242
248,16241,-20.694366455078125
249,16391,-13.337788581848145
250,16415,-16.36897087097168
251,16486,-19.376102447509766
252,16509,-15.37320327758789
253,16600,21.452125549316406
254,16750,-11.564964294433594
255,16900,-12.069281578063965
256,16901,29.94354820251465
257,17032,-26.811019897460938
258,17052,-16.69480323791504
259,17202,-10.2051420211792
260,17225,-13.384359359741211
261,17375,-19.600933074951172
262,17449,-18.094877243041992
263,17485,-16.485319137573242
264,17635,-10.498188018798828
265,17648,-13.064249038696289
266,17798,-13.097404479980469
267,17948,-12.629598617553711
268,18024,-17.927711486816406
269,18174,-17.819005966186523
270,18324,-14.055824279785156
271,18377,-23.767433166503906
272,18527,-10.352925300598145
273,18677,-12.964714050292969
274,18827,-12.432329177856445
275,18843,-14.58722972869873
276,18899,-19.313722610473633
277,19049,-14.404507637023926
278,19078,28.205209732055664
279,19228,-10.40212345123291
280,19378,-10.60725212097168
281,19528,-15.773794174194336
282,19678,-12.376627922058105
283,19819,-20.227237701416016
284,19969,-13.029170989990234
285,20119,-11.873425483703613
286,20144,28.071229934692383
287,20167,28.675113677978516
288,20317,-15.296536445617676
289,20334,-14.413959503173828
290,20347,-13.315736770629883
291,20497,-11.427038192749023
292,20524,-14.671236038208008
293,20674,-15.094282150268555
294,20824,-10.650626182556152
295,20911,-17.26409339904785
296,21061,-9.79871654510498
297,21211,-15.911738395690918
298,21317,-20.871036529541016
299,21404,-18.642749786376953
300,21505,22.052494049072266
301,21655,-12.522387504577637
302,21805,-9.993730545043945
303,21955,-13.085814476013184
304,22105,-9.745976448059082
305,22120,28.892236709594727
306,22270,-12.00420093536377
307,22420,-12.410158157348633
308,22570,-11.840058326721191
309,22587,-14.707618713378906
310,22613,-15.540576934814453
311,22754,-19.894512176513672
312,22904,-12.69709587097168
313,22924,28.752178192138672
314,23074,-9.883183479309082
315,23224,-9.459296226501465
316,23236,-13.032408714294434
317,23237,29.94757652282715
318,23387,-13.890071868896484
319,23537,-10.471171379089355
320,23687,-9.571434020996094
321,23837,-10.483582496643066
322,23987,-10.439693450927734
323,24018,-18.13040542602539
324,24047,28.25340461730957
325,24197,-10.552037239074707
326,24347,-12.834356307983398
327,24373,28.22930145263672
328,24523,-11.6526460647583
329,24673,-12.58124828338623
330,24697,-14.992815017700195
331,24847,-10.464130401611328
332,24997,-15.028912544250488
333,25017,-14.31037712097168
334,25035,-14.180051803588867
335,25102,25.752849578857422
336,25119,-13.225351333618164
337,25140,-15.04313850402832
338,25158,-14.757213592529297
339,25183,-17.368473052978516
340,25333,-9.769449234008789
341,25352,-13.602736473083496
342,25502,-10.670201301574707
343,25652,-10.440876960754395
344,25802,-10.667634963989258
345,25952,-10.910157203674316
346,26017,-19.239294052124023
347,26167,-21.21133804321289
348,26186,28.866252899169922
349,26336,-15.31725025177002
350,26486,-11.759832382202148
351,26636,-12.775057792663574
352,26786,-12.289637565612793
353,26936,-10.492531776428223
354,27086,-10.954713821411133
355,27169,22.970993041992188
356,27319,-11.998102188110352
357,27334,-14.402690887451172
358,27339,29.724576950073242
359,27489,-13.471842765808105
360,27505,28.977142333984375
361,27655,-10.555700302124023
362,27706,-15.40487289428711
