Episode,Total_Timesteps,Reward
1,67,-26.487445831298828
2,143,-24.299039840698242
3,178,-14.40735149383545
4,328,-35.92723083496094
5,371,-18.876678466796875
6,413,-22.58112907409668
7,478,-23.535675048828125
8,505,-14.823919296264648
9,570,-22.152179718017578
10,657,-38.309791564941406
11,699,-22.058130264282227
12,738,-15.805227279663086
13,806,-30.225582122802734
14,859,-21.007240295410156
15,989,-52.68524932861328
16,1040,-15.775755882263184
17,1190,-45.22331619262695
18,1231,-18.499298095703125
19,1269,-17.690906524658203
20,1309,27.041019439697266
21,1344,-15.804559707641602
22,1420,-35.66543197631836
23,1462,-13.690311431884766
24,1531,-29.532791137695312
25,1580,-21.56554412841797
26,1730,-23.35586166381836
27,1845,-48.04551315307617
28,1865,-15.092386245727539
29,1951,-40.6415901184082
30,1986,-19.22164535522461
31,2119,-32.339324951171875
32,2182,-16.82947540283203
33,2231,-18.044170379638672
34,2264,-19.39766502380371
35,2283,-14.602545738220215
36,2433,-18.386545181274414
37,2464,-18.20984649658203
38,2492,-15.552606582641602
39,2548,-23.653024673461914
40,2698,-33.86170959472656
41,2839,-55.64628601074219
42,2925,-23.688629150390625
43,2954,-18.19289779663086
44,3012,-30.0885009765625
45,3039,-14.33851432800293
46,3115,-35.908119201660156
47,3192,-20.440799713134766
48,3242,-23.47796630859375
49,3278,-15.834766387939453
50,3341,-16.650087356567383
51,3394,-15.367090225219727
52,3423,-13.548773765563965
53,3546,-49.685333251953125
54,3609,-22.404796600341797
55,3653,-14.498058319091797
56,3672,-14.247247695922852
57,3738,-32.747562408447266
58,3798,-19.768693923950195
59,3834,-16.873332977294922
60,3848,-13.380552291870117
61,3884,-14.017972946166992
62,3963,-16.197559356689453
63,3987,-17.545711517333984
64,4060,-17.845691680908203
65,4118,-18.006473541259766
66,4173,-22.97390365600586
67,4235,-15.486076354980469
68,4282,-25.94038200378418
69,4355,-31.098068237304688
70,4393,-13.529841423034668
71,4431,-14.483175277709961
72,4512,-35.58723068237305
73,4591,-18.661544799804688
74,4618,-17.188934326171875
75,4648,-16.715087890625
76,4692,-18.638105392456055
77,4716,-13.815597534179688
78,4783,-25.851337432861328
79,4834,-26.611099243164062
80,4921,-38.80587387084961
81,4994,-33.504791259765625
82,5119,-19.483829498291016
83,5177,-21.447874069213867
84,5222,-20.074459075927734
85,5280,-18.433395385742188
86,5347,-14.741564750671387
87,5400,-16.664093017578125
88,5457,-29.72148323059082
89,5550,-40.7844123840332
90,5589,-18.894733428955078
91,5645,-14.706123352050781
92,5794,-22.173736572265625
93,5943,-24.81281852722168
94,6093,-11.741122245788574
95,6160,-16.505067825317383
96,6197,-14.041191101074219
97,6262,-24.306373596191406
98,6318,-16.949037551879883
99,6375,-19.55233383178711
100,6496,-26.222492218017578
101,6522,-17.848373413085938
102,6577,-17.280128479003906
103,6629,-15.517755508422852
104,6662,-15.742057800292969
105,6728,-24.163753509521484
106,6785,-23.160167694091797
107,6917,-31.991870880126953
108,6951,-19.653032302856445
109,6952,29.942089080810547
110,6960,29.5120906829834
111,7025,-28.942092895507812
112,7151,-20.58129119873047
113,7196,-19.431528091430664
114,7294,-19.276926040649414
115,7425,-31.218852996826172
116,7575,-18.029626846313477
117,7602,-18.877525329589844
118,7707,-19.15796661376953
119,7779,-24.723360061645508
120,7813,-17.717069625854492
121,7944,-38.42763900756836
122,8048,-18.116779327392578
123,8198,-26.911657333374023
124,8263,-18.426067352294922
125,8413,-14.278402328491211
126,8556,-30.118906021118164
127,8662,-24.988943099975586
128,8812,-20.20466423034668
129,8891,-16.121562957763672
130,8924,-19.290512084960938
131,8953,-17.19156265258789
132,9036,22.9167537689209
133,9087,-23.29420280456543
134,9143,-19.96881103515625
135,9232,-24.498802185058594
136,9382,-17.18821907043457
137,9385,29.832622528076172
138,9535,-17.328325271606445
139,9669,-27.61153793334961
140,9819,-12.823771476745605
141,9859,-17.532512664794922
142,10005,-31.61194610595703
143,10052,26.37765121459961
144,10103,-22.123212814331055
145,10152,-14.883325576782227
146,10186,-13.758609771728516
147,10239,-16.763399124145508
148,10288,-21.940776824951172
149,10438,-11.052796363830566
150,10474,-18.396156311035156
151,10498,-16.60724639892578
152,10554,-14.965219497680664
153,10676,-22.66042709350586
154,10826,-11.36478328704834
155,10874,-24.795053482055664
156,10936,-16.162580490112305
157,10966,-18.409177780151367
158,11079,-20.904739379882812
159,11109,-16.00253677368164
160,11252,-20.755062103271484
161,11390,-37.27630615234375
162,11394,29.761215209960938
163,11544,-22.25339698791504
164,11599,-16.192825317382812
165,11657,-17.120826721191406
166,11807,-14.12045669555664
167,11827,-16.000322341918945
168,11931,20.77678108215332
169,11950,-14.654426574707031
170,11980,-18.600051879882812
171,12130,-13.867023468017578
172,12206,-18.447376251220703
173,12208,29.890621185302734
174,12232,-15.797772407531738
175,12236,29.774377822875977
176,12262,-16.969863891601562
177,12293,-17.962890625
178,12334,-18.74341583251953
179,12484,-15.757497787475586
180,12549,-18.05276107788086
181,12699,-17.24900245666504
182,12849,-20.299884796142578
183,12999,-12.492694854736328
184,13149,-13.617807388305664
185,13174,-15.175127029418945
186,13322,-22.51044464111328
187,13418,-20.493846893310547
188,13455,-15.601308822631836
189,13482,-16.882152557373047
190,13499,28.96123695373535
191,13518,-15.738183975219727
192,13548,-18.365421295166016
193,13589,-18.088769912719727
194,13718,-26.563650131225586
195,13868,-12.36507511138916
196,13907,-19.9823055267334
197,13937,-15.53322696685791
198,14087,-11.890022277832031
199,14237,-16.542524337768555
200,14387,-11.005158424377441
201,14407,-15.486212730407715
202,14463,-18.08661651611328
203,14477,-13.689188957214355
204,14591,-27.713878631591797
205,14642,-19.26268768310547
206,14792,-10.165165901184082
207,14846,-16.602527618408203
208,14848,29.88140296936035
209,14998,-14.498226165771484
210,15148,-9.971394538879395
211,15298,-12.23755931854248
212,15312,29.11836814880371
213,15342,-15.877788543701172
214,15376,-20.768646240234375
215,15526,-12.892784118652344
216,15676,-11.753698348999023
217,15715,-17.7979736328125
218,15792,22.4481258392334
219,15815,-16.28278160095215
220,15965,-13.434221267700195
221,16042,25.18787384033203
222,16068,-17.99032974243164
223,16114,-17.5970516204834
224,16264,-13.618438720703125
225,16414,-12.560172080993652
226,16564,-13.106597900390625
227,16655,-20.74469757080078
228,16714,-19.232112884521484
229,16773,25.79014015197754
230,16923,-9.698575019836426
231,17073,-12.180402755737305
232,17223,-20.989990234375
233,17373,-15.321240425109863
234,17523,-11.446393013000488
235,17673,-12.718161582946777
236,17784,-18.25187873840332
237,17808,-16.27956199645996
238,17901,-28.044391632080078
239,18051,-12.209192276000977
240,18191,-23.70815658569336
241,18341,-13.145456314086914
242,18463,20.424152374267578
243,18613,-9.7947359085083
244,18636,-17.271541595458984
245,18691,-18.63840103149414
246,18696,29.72233009338379
247,18846,-15.615768432617188
248,18996,-14.212862968444824
249,19020,-16.07503890991211
250,19078,-20.043405532836914
251,19228,-13.619775772094727
252,19378,-10.056069374084473
253,19419,-17.5047607421875
254,19424,29.724538803100586
255,19574,-13.187806129455566
256,19621,26.912250518798828
257,19771,-13.91310977935791
258,19825,25.668909072875977
259,19975,-11.820303916931152
260,20125,-13.321685791015625
261,20275,-19.83616065979004
262,20425,-13.565410614013672
263,20461,-15.063995361328125
264,20480,-14.129843711853027
265,20516,-20.922439575195312
266,20541,-17.711406707763672
267,20686,-20.790611267089844
268,20836,-15.916974067687988
269,20864,-17.69768524169922
270,20893,-15.145556449890137
271,21043,-19.803516387939453
272,21086,-20.740636825561523
273,21236,-13.108941078186035
274,21386,-11.304633140563965
275,21536,-15.277562141418457
276,21686,-16.9958553314209
277,21836,-15.188711166381836
278,21944,-19.598529815673828
279,22094,-11.74244499206543
280,22244,-18.12596893310547
281,22394,-13.904285430908203
282,22544,-14.735438346862793
283,22568,-14.883628845214844
284,22587,-15.36410140991211
285,22737,-11.147531509399414
286,22753,28.989397048950195
287,22903,-11.673837661743164
288,22951,-17.435264587402344
289,23101,-11.413198471069336
290,23251,-12.668119430541992
291,23315,-19.760448455810547
292,23465,-12.520352363586426
293,23480,-13.625670433044434
294,23630,-13.068915367126465
295,23684,26.194290161132812
296,23834,-13.333292961120605
297,23854,-15.96511459350586
298,24004,-12.8272705078125
299,24154,-11.345600128173828
300,24293,17.588138580322266
301,24443,-13.304483413696289
302,24578,-21.16399383544922
303,24598,-14.337118148803711
304,24748,-11.753021240234375
305,24766,-15.219834327697754
306,24916,-13.788869857788086
307,24976,-18.123748779296875
308,25050,25.12201690673828
309,25200,-11.153502464294434
310,25225,-15.257467269897461
311,25287,-16.55791473388672
312,25437,-12.167184829711914
313,25587,-14.227435111999512
314,25590,29.821823120117188
315,25608,-13.910848617553711
316,25758,-10.605541229248047
317,25908,-14.077178955078125
318,26058,-13.13587760925293
319,26208,-11.941242218017578
320,26273,-17.401447296142578
321,26338,25.466657638549805
322,26488,-14.48001480102539
323,26638,-11.865740776062012
324,26788,-15.876702308654785
325,26859,-20.206260681152344
326,26894,27.69083023071289
327,26895,29.94220542907715
328,26913,-13.471528053283691
329,27063,-11.491450309753418
330,27213,-11.479170799255371
331,27363,-14.780816078186035
332,27398,-17.978931427001953
333,27548,-14.4749755859375
334,27698,-21.24701690673828
335,27716,-15.427645683288574
336,27735,-15.832443237304688
337,27810,-22.49625587463379
338,27935,22.174631118774414
339,28085,-16.127391815185547
340,28235,-12.756572723388672
341,28337,23.302692413330078
342,28487,-11.310663223266602
343,28637,-14.070852279663086
344,28787,-12.439523696899414
345,28937,-16.006092071533203
346,28955,-12.783693313598633
347,29011,-19.197275161743164
348,29030,-14.037686347961426
349,29050,28.80451202392578
350,29105,25.456132888793945
351,29132,-14.498512268066406
352,29282,-11.769227981567383
353,29432,-10.396512985229492
354,29582,-10.456528663635254
355,29732,-11.633384704589844
356,29882,-14.389591217041016
357,30022,20.45614242553711
358,30046,-16.072452545166016
359,30106,-18.875173568725586
360,30256,-11.560709953308105
361,30406,-13.043538093566895
362,30556,-12.269708633422852
363,30706,-12.917245864868164
364,30856,-11.189658164978027
365,31006,-11.00773811340332
366,31046,27.32404136657715
367,31196,-12.317174911499023
368,31294,21.629291534423828
369,31444,-11.82984733581543
370,31594,-19.191848754882812
371,31672,24.234458923339844
372,31715,26.677465438842773
373,31865,-10.135466575622559
374,32015,-12.409231185913086
375,32165,-11.249354362487793
376,32315,-9.197832107543945
377,32465,-15.815265655517578
378,32477,29.234891891479492
379,32627,-10.062881469726562
380,32674,-15.391145706176758
381,32716,-14.568840026855469
382,32854,20.271289825439453
383,32871,-14.290489196777344
384,32873,29.89181137084961
385,33023,-13.134635925292969
386,33173,-14.358600616455078
387,33233,26.120521545410156
388,33344,22.647499084472656
389,33363,28.765108108520508
390,33513,-11.224125862121582
391,33646,19.48189926147461
392,33796,-11.352290153503418
393,33814,-15.335939407348633
394,33964,-12.090065002441406
395,33991,28.19218635559082
396,34005,29.133281707763672
397,34028,-16.625625610351562
398,34178,-11.658156394958496
399,34328,-10.203478813171387
400,34409,22.849655151367188
401,34559,-14.349686622619629
402,34590,-16.11964988708496
403,34605,29.008386611938477
404,34733,21.892189025878906
405,34883,18.135265350341797
406,35033,-12.48598861694336
407,35171,17.12125015258789
408,35321,-12.462302207946777
409,35423,23.457839965820312
410,35536,23.061016082763672
411,35686,-10.202275276184082
412,35836,-12.024428367614746
413,35853,-14.129316329956055
414,36003,-11.186164855957031
415,36060,25.538475036621094
416,36210,-10.567802429199219
417,36360,-12.223309516906738
418,36381,-16.087993621826172
419,36459,24.865482330322266
420,36479,-14.931787490844727
421,36629,-10.90073299407959
422,36779,-12.07855224609375
423,36929,-11.630698204040527
424,37072,20.56197738647461
425,37196,21.971057891845703
426,37215,-14.621349334716797
427,37233,-14.906291961669922
428,37327,24.05718994140625
429,37477,-10.168911933898926
430,37627,-10.374049186706543
431,37777,-10.004473686218262
432,37927,-12.2515230178833
433,38077,-9.946697235107422
434,38103,-15.311775207519531
435,38253,-11.824063301086426
436,38365,23.023008346557617
437,38383,-13.083231925964355
438,38479,23.27300262451172
439,38629,-10.87215805053711
440,38779,-13.13469123840332
441,38929,-10.801905632019043
442,39017,23.608661651611328
443,39059,-15.50600528717041
444,39118,24.598146438598633
445,39207,22.744497299194336
446,39262,25.090829849243164
447,39373,21.5140438079834
448,39461,22.06005859375
449,39611,-10.268935203552246
450,39761,-12.273406028747559
451,39911,-10.18964958190918
452,40061,-10.445747375488281
453,40184,21.654064178466797
454,40334,-11.838896751403809
455,40484,-17.792341232299805
456,40634,-10.515425682067871
457,40784,-13.401863098144531
458,40934,-13.787349700927734
459,41084,-10.2452392578125
460,41179,23.439926147460938
461,41196,-13.47432804107666
462,41242,26.644346237182617
463,41392,-10.570931434631348
464,41410,-14.196441650390625
465,41560,-13.860249519348145
466,41710,-11.531149864196777
467,41724,29.21479606628418
468,41746,28.531314849853516
469,41754,29.52782440185547
470,41805,25.35868263244629
471,41955,-10.505105972290039
472,42105,-10.164990425109863
473,42255,-9.338920593261719
474,42294,27.402753829956055
475,42431,-20.27671241760254
476,42447,28.547334671020508
477,42597,-15.283159255981445
478,42747,-10.712315559387207
479,42762,-12.701414108276367
480,42769,29.628026962280273
481,42919,-11.004179000854492
482,43056,20.540117263793945
483,43206,-11.452512741088867
484,43356,-12.101300239562988
485,43492,21.919523239135742
486,43642,-10.000202178955078
487,43679,-14.85452938079834
488,43829,-10.114787101745605
489,43979,-12.033721923828125
490,44129,-14.235353469848633
491,44279,-10.113234519958496
492,44429,-11.8178129196167
493,44442,-12.950544357299805
494,44592,-9.51652717590332
495,44742,-11.057103157043457
496,44892,-10.038911819458008
497,45042,-10.90719985961914
498,45192,-10.121513366699219
499,45211,-14.51732063293457
500,45247,27.404460906982422
